order_id,createdAt,currentSubtotalLineItemsQuantity,customer_id,city,hora,maps,clean_city,order_total
605504045125,2018-09-11 03:41:34+00:00,0,722083086405,Lima,3,"Cercado de Lima, Perú",Cercado de Lima,149.0
3823615967295,2021-06-03 00:55:17+00:00,0,722083086405,Lima,0,"Cercado de Lima, Perú",Cercado de Lima,184.0
5837952581695,2024-07-02 15:24:00+00:00,0,722083086405,Lima,15,"Cercado de Lima, Perú",Cercado de Lima,392.0
596940783685,2018-09-04 15:59:16+00:00,0,722885574725,Lima,15,"Cercado de Lima, Perú",Cercado de Lima,519.5
598392078405,2018-09-05 22:13:29+00:00,0,722986827845,Ciudad 1,22,"Cercado de Lima, Perú",Cercado de Lima,429.70000000000005
672946094149,2018-10-26 14:54:25+00:00,1,722986827845,Ciudad 1,14,"Cercado de Lima, Perú",Cercado de Lima,249.0
605529571397,2018-09-11 04:19:05+00:00,1,733210214469,Lima,4,"Cercado de Lima, Perú",Cercado de Lima,169.0
836798120005,2019-01-28 15:55:49+00:00,1,734424072261,Unknown,15,"Cercado de Lima, Perú",Cercado de Lima,146.0
836798939205,2019-01-28 15:56:28+00:00,1,734424072261,Unknown,15,"Cercado de Lima, Perú",Cercado de Lima,146.0
607289770053,2018-09-12 19:56:18+00:00,1,735738265669,Lima,19,"Cercado de Lima, Perú",Cercado de Lima,159.0
607447875653,2018-09-12 22:34:45+00:00,4,735926616133,Lima,22,"Cercado de Lima, Perú",Cercado de Lima,646.0
609000194117,2018-09-13 20:29:56+00:00,1,737093484613,Cuadra 4 de Pedro Ventura,20,"Cercado de Lima, Perú",Cercado de Lima,179.0
658381832261,2018-10-16 21:10:53+00:00,1,737093484613,Cuadra 4 de Pedro Ventura,21,"Cercado de Lima, Perú",Cercado de Lima,139.0
610030125125,2018-09-14 14:16:46+00:00,1,737849475141,Lima,14,"Cercado de Lima, Perú",Cercado de Lima,169.0
612519903301,2018-09-16 21:18:31+00:00,1,740618436677,Lima,21,"Cercado de Lima, Perú",Cercado de Lima,139.0
615273398341,2018-09-18 16:07:04+00:00,1,743989313605,Lima,16,"Cercado de Lima, Perú",Cercado de Lima,169.0
616517042245,2018-09-19 03:26:13+00:00,1,743989313605,Lima,3,"Cercado de Lima, Perú",Cercado de Lima,169.0
1379928408133,2019-09-12 15:03:33+00:00,1,743989313605,Callao,15,"Callao, Perú",Callao,159.0
615942586437,2018-09-18 22:24:08+00:00,0,744911142981,Pisco,22,"Pisco, Perú",Pisco,169.0
616186576965,2018-09-19 00:32:50+00:00,0,745012756549,Lima,0,"Cercado de Lima, Perú",Cercado de Lima,139.0
616208662597,2018-09-19 00:43:35+00:00,1,745012756549,Lima,0,"Cercado de Lima, Perú",Cercado de Lima,139.0
616397471813,2018-09-19 02:21:33+00:00,2,745108144197,Lima,2,"Cercado de Lima, Perú",Cercado de Lima,338.0
617078718533,2018-09-19 12:18:54+00:00,1,745639018565,Lima,12,"Cercado de Lima, Perú",Cercado de Lima,119.0
617295609925,2018-09-19 16:40:48+00:00,0,746533814341,LIMA,16,"Cercado de Lima, Perú",Cercado de Lima,169.0
617301540933,2018-09-19 16:48:17+00:00,0,746533814341,LIMA,16,"Cercado de Lima, Perú",Cercado de Lima,169.0
617306488901,2018-09-19 16:54:08+00:00,1,746545872965,Lima,16,"Cercado de Lima, Perú",Cercado de Lima,139.0
617708650565,2018-09-20 00:51:33+00:00,1,747015798853,Lima,0,"Cercado de Lima, Perú",Cercado de Lima,139.0
617792208965,2018-09-20 02:32:22+00:00,1,747107844165,Chiclayo,2,"Chiclayo, Perú",Chiclayo,169.0
617820782661,2018-09-20 03:15:10+00:00,2,747141759045,Lima,3,"Cercado de Lima, Perú",Cercado de Lima,338.0
618537975877,2018-09-20 19:49:24+00:00,2,747997888581,Ayacucho,19,"Ayacucho, Perú",Ayacucho,298.0
619248910405,2018-09-21 15:00:36+00:00,1,747997888581,Ayacucho,15,"Ayacucho, Perú",Ayacucho,209.0
668652929093,2018-10-24 01:12:11+00:00,2,747997888581,Ayacucho,1,"Ayacucho, Perú",Ayacucho,538.0
2247114620991,2020-05-11 17:19:32+00:00,1,747997888581,Jesús De Nazareno,17,"Nazareno, Perú",Nazareno,237.3
