lineitem_id,quantity,order_id,price,title_limpio,line_total
1458992775237,1,605504045125,149.0,Sábanas Algodón 300 Hilos,149.0
9967951609919,1,3823615967295,184.0,Cubrecama Quilt Microfibra,184.0
14419652739135,1,5837952581695,392.0,set de sábanas signature,392.0
1443611738181,4,596940783685,99.9,Cubrecama De Spring,399.6
1443611770949,1,596940783685,119.9,Edredón De Riansares,119.9
1446194544709,1,598392078405,189.9,Cubrecama De Spring,189.9
1446194577477,1,598392078405,139.9,Sábanas Algodón 300 Hilos,139.9
1446194610245,1,598392078405,99.9,Cubrecama De Royce,99.9
1603928784965,1,672946094149,249.0,Edredón Royal Queen,249.0
1459039404101,1,605529571397,169.0,Edredón De Azurium,169.0
1897557852229,1,836798120005,146.0,Cubrecama 2 Royce,146.0
1897559588933,1,836798939205,146.0,Cubrecama 2 Peach,146.0
1462251552837,1,607289770053,159.0,Edredón De Caledonia,159.0
1462533062725,1,607447875653,169.0,Sábanas Algodón 300 Hilos,169.0
1462533095493,1,607447875653,139.0,Edredón De Galdina,139.0
1462533128261,1,607447875653,169.0,Edredón Azurium Plazas,169.0
1462533161029,1,607447875653,169.0,Edredón De Marena,169.0
1465068388421,1,609000194117,179.0,Edredón De Galdina,179.0
1571980509253,1,658381832261,139.0,Edredón 1.5 Galdina,139.0
1466802044997,1,610030125125,169.0,Edredón Royal Plazas,169.0
1471020531781,1,612519903301,139.0,Edredón De Camelia,139.0
1476601774149,1,615273398341,169.0,Edredón Royal Plazas,169.0
1479942996037,1,616517042245,169.0,Sábanas Algodón 300 Hilos,169.0
2959996452933,1,1379928408133,159.0,Edredón 2 Caledonia,159.0
1478383370309,1,615942586437,169.0,Sábanas Algodón 300 Hilos,169.0
1479074185285,1,616186576965,139.0,Edredón De Caledonia,139.0
1479129038917,1,616208662597,139.0,Edredón De Caledonia,139.0
1479617970245,1,616397471813,149.0,Cubrecama De Spring,149.0
1479618003013,1,616397471813,189.0,Sábanas Algodón 300 Hilos,189.0
1481468608581,1,617078718533,119.0,Edredón De Camelia,119.0
1481874145349,1,617295609925,169.0,Edredón Marena Plazas,169.0
1481883549765,1,617301540933,169.0,Edredón Marena Plazas,169.0
1481893249093,1,617306488901,139.0,Edredón De Alcione,139.0
1482602217541,1,617708650565,139.0,Edredón De Caledonia,139.0
1482756390981,1,617792208965,169.0,Cubrecama De Royce,169.0
